date,product_id,product_name,units_sold
2025-04-01,PRD001,Family Sedan Kit,4
2025-04-02,PRD001,Family Sedan Kit,1
2025-04-03,PRD001,Family Sedan Kit,3
2025-04-04,PRD001,Family Sedan Kit,3
2025-04-05,PRD001,Family Sedan Kit,0
2025-04-06,PRD001,Family Sedan Kit,0
2025-04-07,PRD001,Family Sedan Kit,2
2025-04-08,PRD001,Family Sedan Kit,1
2025-04-09,PRD001,Family Sedan Kit,1
2025-04-10,PRD001,Family Sedan Kit,2
2025-04-11,PRD001,Family Sedan Kit,2
2025-04-12,PRD001,Family Sedan Kit,0
2025-04-13,PRD001,Family Sedan Kit,0
2025-04-14,PRD001,Family Sedan Kit,0
2025-04-15,PRD001,Family Sedan Kit,4
2025-04-16,PRD001,Family Sedan Kit,2
2025-04-17,PRD001,Family Sedan Kit,1
2025-04-18,PRD001,Family Sedan Kit,3
2025-04-19,PRD001,Family Sedan Kit,0
2025-04-20,PRD001,Family Sedan Kit,0
2025-04-21,PRD001,Family Sedan Kit,2
2025-04-22,PRD001,Family Sedan Kit,4
2025-04-23,PRD001,Family Sedan Kit,1
2025-04-24,PRD001,Family Sedan Kit,1
2025-04-25,PRD001,Family Sedan Kit,2
2025-04-26,PRD001,Family Sedan Kit,0
2025-04-27,PRD001,Family Sedan Kit,0
2025-04-28,PRD001,Family Sedan Kit,1
2025-04-29,PRD001,Family Sedan Kit,0
2025-04-30,PRD001,Family Sedan Kit,3
2025-05-01,PRD001,Family Sedan Kit,4
2025-05-02,PRD001,Family Sedan Kit,1
2025-05-03,PRD001,Family Sedan Kit,1
2025-05-04,PRD001,Family Sedan Kit,0
2025-05-05,PRD001,Family Sedan Kit,0
2025-05-06,PRD001,Family Sedan Kit,1
2025-05-07,PRD001,Family Sedan Kit,4
2025-05-08,PRD001,Family Sedan Kit,4
2025-05-09,PRD001,Family Sedan Kit,2
2025-05-10,PRD001,Family Sedan Kit,0
2025-05-11,PRD001,Family Sedan Kit,0
2025-05-12,PRD001,Family Sedan Kit,2
2025-05-13,PRD001,Family Sedan Kit,2
2025-05-14,PRD001,Family Sedan Kit,2
2025-05-15,PRD001,Family Sedan Kit,1
2025-05-16,PRD001,Family Sedan Kit,5
2025-05-17,PRD001,Family Sedan Kit,1
2025-05-18,PRD001,Family Sedan Kit,2
2025-05-19,PRD001,Family Sedan Kit,0
2025-05-20,PRD001,Family Sedan Kit,1
2025-05-21,PRD001,Family Sedan Kit,2
2025-05-22,PRD001,Family Sedan Kit,2
2025-05-23,PRD001,Family Sedan Kit,0
2025-05-24,PRD001,Family Sedan Kit,0
2025-05-25,PRD001,Family Sedan Kit,1
2025-05-26,PRD001,Family Sedan Kit,4
2025-05-27,PRD001,Family Sedan Kit,1
2025-05-28,PRD001,Family Sedan Kit,1
2025-05-29,PRD001,Family Sedan Kit,0
2025-05-30,PRD001,Family Sedan Kit,2
2025-05-31,PRD001,Family Sedan Kit,0
2025-06-01,PRD001,Family Sedan Kit,1
2025-06-02,PRD001,Family Sedan Kit,1
2025-06-03,PRD001,Family Sedan Kit,4
2025-06-04,PRD001,Family Sedan Kit,3
2025-06-05,PRD001,Family Sedan Kit,1
2025-06-06,PRD001,Family Sedan Kit,2
2025-06-07,PRD001,Family Sedan Kit,0
2025-06-08,PRD001,Family Sedan Kit,1
2025-06-09,PRD001,Family Sedan Kit,0
2025-06-10,PRD001,Family Sedan Kit,2
2025-06-11,PRD001,Family Sedan Kit,2
2025-06-12,PRD001,Family Sedan Kit,2
2025-06-13,PRD001,Family Sedan Kit,0
2025-06-14,PRD001,Family Sedan Kit,2
2025-06-15,PRD001,Family Sedan Kit,1
2025-06-16,PRD001,Family Sedan Kit,2
2025-06-17,PRD001,Family Sedan Kit,0
2025-06-18,PRD001,Family Sedan Kit,4
2025-06-19,PRD001,Family Sedan Kit,5
2025-06-20,PRD001,Family Sedan Kit,2
2025-06-21,PRD001,Family Sedan Kit,0
2025-06-22,PRD001,Family Sedan Kit,0
2025-06-23,PRD001,Family Sedan Kit,1
2025-06-24,PRD001,Family Sedan Kit,1
2025-06-25,PRD001,Family Sedan Kit,2
2025-06-26,PRD001,Family Sedan Kit,2
2025-06-27,PRD001,Family Sedan Kit,5
2025-06-28,PRD001,Family Sedan Kit,0
2025-06-29,PRD001,Family Sedan Kit,0
2025-06-30,PRD001,Family Sedan Kit,2
2025-07-01,PRD001,Family Sedan Kit,5
2025-07-02,PRD001,Family Sedan Kit,2
2025-07-03,PRD001,Family Sedan Kit,0
2025-07-04,PRD001,Family Sedan Kit,3
2025-07-05,PRD001,Family Sedan Kit,1
2025-07-06,PRD001,Family Sedan Kit,0
2025-07-07,PRD001,Family Sedan Kit,5
2025-07-08,PRD001,Family Sedan Kit,3
2025-07-09,PRD001,Family Sedan Kit,4
2025-07-10,PRD001,Family Sedan Kit,2
2025-07-11,PRD001,Family Sedan Kit,5
2025-07-12,PRD001,Family Sedan Kit,0
2025-07-13,PRD001,Family Sedan Kit,3
2025-07-14,PRD001,Family Sedan Kit,4
2025-07-15,PRD001,Family Sedan Kit,3
2025-07-16,PRD001,Family Sedan Kit,0
2025-07-17,PRD001,Family Sedan Kit,1
2025-07-18,PRD001,Family Sedan Kit,2
2025-07-19,PRD001,Family Sedan Kit,1
2025-07-20,PRD001,Family Sedan Kit,0
2025-07-21,PRD001,Family Sedan Kit,2
2025-07-22,PRD001,Family Sedan Kit,2
2025-07-23,PRD001,Family Sedan Kit,1
2025-07-24,PRD001,Family Sedan Kit,0
2025-07-25,PRD001,Family Sedan Kit,5
2025-07-26,PRD001,Family Sedan Kit,0
2025-07-27,PRD001,Family Sedan Kit,1
2025-07-28,PRD001,Family Sedan Kit,1
2025-07-29,PRD001,Family Sedan Kit,0
2025-07-30,PRD001,Family Sedan Kit,4
2025-07-31,PRD001,Family Sedan Kit,1
2025-08-01,PRD001,Family Sedan Kit,3
2025-08-02,PRD001,Family Sedan Kit,2
2025-08-03,PRD001,Family Sedan Kit,1
2025-08-04,PRD001,Family Sedan Kit,1
2025-08-05,PRD001,Family Sedan Kit,1
2025-08-06,PRD001,Family Sedan Kit,1
2025-08-07,PRD001,Family Sedan Kit,0
2025-08-08,PRD001,Family Sedan Kit,3
2025-08-09,PRD001,Family Sedan Kit,0
2025-08-10,PRD001,Family Sedan Kit,0
2025-08-11,PRD001,Family Sedan Kit,1
2025-08-12,PRD001,Family Sedan Kit,3
2025-08-13,PRD001,Family Sedan Kit,3
2025-08-14,PRD001,Family Sedan Kit,1
2025-08-15,PRD001,Family Sedan Kit,0
2025-08-16,PRD001,Family Sedan Kit,1
2025-08-17,PRD001,Family Sedan Kit,1
2025-08-18,PRD001,Family Sedan Kit,3
2025-08-19,PRD001,Family Sedan Kit,5
2025-08-20,PRD001,Family Sedan Kit,0
2025-08-21,PRD001,Family Sedan Kit,0
2025-08-22,PRD001,Family Sedan Kit,0
2025-08-23,PRD001,Family Sedan Kit,0
2025-08-24,PRD001,Family Sedan Kit,1
2025-08-25,PRD001,Family Sedan Kit,2
2025-08-26,PRD001,Family Sedan Kit,2
2025-08-27,PRD001,Family Sedan Kit,5
2025-08-28,PRD001,Family Sedan Kit,2
2025-08-29,PRD001,Family Sedan Kit,4
2025-08-30,PRD001,Family Sedan Kit,2
2025-08-31,PRD001,Family Sedan Kit,1
2025-09-01,PRD001,Family Sedan Kit,0
2025-09-02,PRD001,Family Sedan Kit,3
2025-09-03,PRD001,Family Sedan Kit,2
2025-09-04,PRD001,Family Sedan Kit,1
2025-09-05,PRD001,Family Sedan Kit,4
2025-09-06,PRD001,Family Sedan Kit,0
2025-09-07,PRD001,Family Sedan Kit,0
2025-09-08,PRD001,Family Sedan Kit,4
2025-09-09,PRD001,Family Sedan Kit,0
2025-09-10,PRD001,Family Sedan Kit,1
2025-09-11,PRD001,Family Sedan Kit,3
2025-09-12,PRD001,Family Sedan Kit,0
2025-09-13,PRD001,Family Sedan Kit,0
2025-09-14,PRD001,Family Sedan Kit,1
2025-09-15,PRD001,Family Sedan Kit,0
2025-09-16,PRD001,Family Sedan Kit,0
2025-09-17,PRD001,Family Sedan Kit,1
2025-09-18,PRD001,Family Sedan Kit,2
2025-09-19,PRD001,Family Sedan Kit,0
2025-09-20,PRD001,Family Sedan Kit,1
2025-09-21,PRD001,Family Sedan Kit,0
2025-09-22,PRD001,Family Sedan Kit,5
2025-09-23,PRD001,Family Sedan Kit,4
2025-09-24,PRD001,Family Sedan Kit,1
2025-09-25,PRD001,Family Sedan Kit,1
2025-09-26,PRD001,Family Sedan Kit,0
2025-09-27,PRD001,Family Sedan Kit,0
2025-09-28,PRD001,Family Sedan Kit,1
2025-09-29,PRD001,Family Sedan Kit,3
2025-09-30,PRD001,Family Sedan Kit,3
2025-10-01,PRD001,Family Sedan Kit,1
2025-10-02,PRD001,Family Sedan Kit,3
2025-10-03,PRD001,Family Sedan Kit,4
2025-10-04,PRD001,Family Sedan Kit,0
2025-10-05,PRD001,Family Sedan Kit,1
2025-10-06,PRD001,Family Sedan Kit,1
2025-10-07,PRD001,Family Sedan Kit,3
2025-10-08,PRD001,Family Sedan Kit,2
2025-10-09,PRD001,Family Sedan Kit,2
2025-10-10,PRD001,Family Sedan Kit,0
2025-10-11,PRD001,Family Sedan Kit,3
2025-10-12,PRD001,Family Sedan Kit,0
2025-10-13,PRD001,Family Sedan Kit,2
2025-10-14,PRD001,Family Sedan Kit,5
2025-10-15,PRD001,Family Sedan Kit,2
2025-10-16,PRD001,Family Sedan Kit,0
2025-10-17,PRD001,Family Sedan Kit,3
2025-10-18,PRD001,Family Sedan Kit,0
2025-10-19,PRD001,Family Sedan Kit,0
2025-10-20,PRD001,Family Sedan Kit,4
2025-10-21,PRD001,Family Sedan Kit,1
2025-10-22,PRD001,Family Sedan Kit,8
2025-10-23,PRD001,Family Sedan Kit,1
2025-10-24,PRD001,Family Sedan Kit,2
2025-10-25,PRD001,Family Sedan Kit,1
2025-10-26,PRD001,Family Sedan Kit,0
2025-10-27,PRD001,Family Sedan Kit,0
2025-10-28,PRD001,Family Sedan Kit,3
2025-10-29,PRD001,Family Sedan Kit,4
2025-10-30,PRD001,Family Sedan Kit,0
2025-10-31,PRD001,Family Sedan Kit,0
2025-11-01,PRD001,Family Sedan Kit,1
2025-11-02,PRD001,Family Sedan Kit,1
